2026-09-18 18:34:54 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:54 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:55 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.875
2026-09-18 18:34:55 | INFO     | voice.stt | STT captured 1.74s audio in 1.89s (samples=27840, sample_rate=16000, rms=26).
2026-09-18 18:34:55 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
2026-09-18 18:34:57 | INFO     | voice.stt | STT transcription finished in 1.28s (chars=12).
2026-09-18 18:34:57 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:57 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:57 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:58 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.079
2026-09-18 18:34:58 | INFO     | voice.stt | STT captured 0.99s audio in 1.08s (samples=15840, sample_rate=16000, rms=40).
2026-09-18 18:34:58 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:34:59 | INFO     | voice.stt | STT transcription finished in 1.28s (chars=6).
2026-09-18 18:34:59 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Pres!
2026-09-18 18:34:59 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:59 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:02 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.078
2026-09-18 18:35:02 | INFO     | voice.stt | STT captured 2.97s audio in 3.08s (samples=47520, sample_rate=16000, rms=21).
2026-09-18 18:35:02 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:35:03 | INFO     | voice.stt | STT transcription finished in 1.34s (chars=12).
2026-09-18 18:35:03 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:03 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:04 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:05 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.422
2026-09-18 18:35:05 | INFO     | voice.stt | STT captured 1.32s audio in 1.42s (samples=21120, sample_rate=16000, rms=27).
2026-09-18 18:35:05 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
2026-09-18 18:35:06 | INFO     | voice.stt | STT transcription finished in 1.41s (chars=12).
2026-09-18 18:35:06 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:06 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:06 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:09 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.079
2026-09-18 18:35:09 | INFO     | voice.stt | STT captured 2.97s audio in 3.08s (samples=47520, sample_rate=16000, rms=21).
2026-09-18 18:35:09 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:35:11 | INFO     | voice.stt | STT transcription finished in 1.31s (chars=12).
2026-09-18 18:35:11 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:11 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:11 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:14 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.078
2026-09-18 18:35:14 | INFO     | voice.stt | STT captured 2.97s audio in 3.09s (samples=47520, sample_rate=16000, rms=21).
2026-09-18 18:35:14 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.015
2026-09-18 18:35:15 | INFO     | voice.stt | STT transcription finished in 1.38s (chars=12).
2026-09-18 18:35:15 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:15 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:15 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:18 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.078
2026-09-18 18:35:18 | INFO     | voice.stt | STT captured 3.00s audio in 3.08s (samples=48000, sample_rate=16000, rms=19).
2026-09-18 18:35:18 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:35:20 | INFO     | voice.stt | STT transcription finished in 1.30s (chars=12).
2026-09-18 18:35:20 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:20 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:20 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:23 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=2.984
2026-09-18 18:35:23 | INFO     | voice.stt | STT captured 2.88s audio in 2.98s (samples=46080, sample_rate=16000, rms=20).
2026-09-18 18:35:23 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:35:24 | INFO     | voice.stt | STT transcription finished in 1.30s (chars=12).
2026-09-18 18:35:24 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:24 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:24 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:26 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.813
2026-09-18 18:35:26 | INFO     | voice.stt | STT captured 1.71s audio in 1.81s (samples=27360, sample_rate=16000, rms=25).
2026-09-18 18:35:26 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.046
2026-09-18 18:35:27 | INFO     | voice.stt | STT transcription finished in 1.31s (chars=12).
2026-09-18 18:35:27 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:35:27 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:27 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:35:30 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.063
2026-09-18 18:35:30 | INFO     | voice.stt | STT captured 2.97s audio in 3.06s (samples=47520, sample_rate=16000, rms=226).
2026-09-18 18:35:30 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.046
2026-09-18 18:35:32 | INFO     | voice.stt | STT transcription finished in 1.48s (chars=21).
2026-09-18 18:35:32 | INFO     | jarvis.main | Usuario: que haces
2026-09-18 18:35:50 | INFO     | brain.llm | timing phase=ollama_request duration_seconds=18.625
2026-09-18 18:35:50 | INFO     | jarvis.main | Jarvis: Como Jarvis, el asistente personal de Manuel, voy a estar siempre listo para ayudarte. En este momento, no tengo una tarea específica en curso, así que estoy disponible para atender tus necesidades. Si tienes alguna pregunta o necesidad, no dudes en preguntar.
2026-09-18 18:35:50 | INFO     | TTS.utils.synthesizer | Text split into sentences.
